ID,Answer
0,士兵
1,《諸羅縣志》
2,袁晁
3,柏林陸軍學院
4,長盤勝負
5,孫銘武
6,1874年
7,西漢的版圖向西擴張
8,郵政機關
9,醜化對方
10,周星馳
11,
12,使用跨站式車站一定得在不同的設施樓層之間移動，因此除非是利用電梯、手扶梯等設施輔助，否則會對老年人、身障人士或攜帶大件行李的旅客造成相當程度的困擾，在無障礙環境
13,anticipation
14,2007年
15,
16,休伯特•漢弗萊
17,
18,經濟
19,80公里
20,愛爾蘭語
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,1861年
25,拜占庭外交
26,拉丁文
27,猶太基督徒
28,1974年
29,提姆·柏內茲李
30,文化大革命
31,《名人傳》
32,灣仔
33,振州
34,一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,白色
38,沒有
39,南人
40,南宋
41,萬尼瓦爾·布希
42,46億年
43,1070年
44,社會保障法規
45,第一教學樓
46,1929年
47,東德喜劇系列
48,1932年
49,
50,康熙帝
51,工學部第一教學樓。該樓為尚未與武漢大學合併之前的武漢水利電力大學
52,1960年代
53,亞歷山大一世被刺殺
54,米利都
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市教育主管機管
59,愛心聖誕大行動
60,
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,沒能取得勝利
66,李宗仁
67,
68,噴射發動機
69,弘治十二年
70,印度
71,2010年
72,英國
73,氦
74,城堡
75,交通運輸部
76,奧林匹克體育場
77,侯寶林
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,四次重差觀測術
86,元封二年
87,隋文帝開皇九年四月，隋滅南陳後
88,佛教
89,1861年
90,德川家康
91,三吳地區
92,複合式裝甲是由數種化學特性極為不同的材料所組成的裝甲；鋼鐵和陶瓷
93,大躍進
94,武漢水利電力大學
95,蘇利南克利奧爾人
96,1934年
97,
98,奈都夫人
99,1949年
100,大象
101,1915年
102,1600年
103,
104,美國
105,芝諾比亞
106,沈器遠
107,四
108,佛學論書
109,北海道帝國大學
110,歐登堡
111,三天
112,1944年
113,曼努埃爾二世
114,巴夏禮
115,哈林河
116,孟加拉
117,傳統音樂
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,主席
122,伊斯蘭
123,王樹民
124,刺殺
125,未標準化
126,瑞派克路
127,1939年
128,施里芬計劃
129,福建林家
130,運貨
131,
132,西人黨
133,2013年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,38
139,1939年
140,高速攝影、間諜氣球開發
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,吉米卡特
146,水鐘
147,溥[UNK]
148,阿拉里克
149,德蘇戰爭
150,髒層
151,男性
152,1949年
153,就業保障制度
154,清光緒十七年
155,
156,國共內戰戰況失利
157,保護國獨立
158,乙醚
159,唐太宗
160,卡爾梅克人
161,1969年初
162,63位
163,副大法官，那個時代典型的裙帶關係。1468年，領受鐸品成為神父，然後在1471年，祝聖為天主教阿爾巴諾羅馬城郊教區主教
164,古希臘時代
165,斯瓦希里語
166,香港九龍半島東面的海灣
167,孫中山
168,農業
169,[UNK]
170,9月4日
171,1999年
172,《天淨沙》
173,
174,公元68年
175,趙佗
176,幾何學
177,岑智明
178,建立德意志帝國告終
179,公元前362年
180,強力政府
181,28歲
182,1948年
183,保加利亞
184,三大優點
185,10度
186,日本社會黨
187,聯合國
188,波士頓
189,1992年
190,網球
191,後箱館裁判所
192,明朝
193,文藝復興
194,2000年
195,2012年
196,考古
197,1914年英、德
198,森林
199,阿森納女子足球俱樂部
200,一黨制
201,
202,1920年
203,美元
204,多倫多
205,驅動列車
206,彌爾
207,反貪污特警隊
208,艾瑪·史東
209,連續函式的訊號
210,某些早期日本佛像設計
211,國王亞歷山大一世
212,法國
213,熱帶
214,新北市位處副熱帶季風氣候區
215,聯盟合作
216,
217,克孜勒
218,三分天災
219,悼詞
220,美觀
221,中部科學園區
222,西部地區
223,1982年
224,1428年
225,皇帝
226,斯洛伐克境內。整個山系面積19萬平方千米，是僅次於斯堪地那維亞山脈的歐洲第二大山系。喀爾巴阡山脈並非連續不斷，而是分成了幾個山群。它僅有少數山峰高於2500米
227,莫斯科
228,發明家
229,2006年
230,沒有
231,《人體器官移植條例》
232,賈似道
233,鄭芝龍舊部郭懷一
234,三倍
235,質量大於0.4太陽質量
236,颱風
237,2014年
238,1968年
239,世界第六
240,
241,武隆區
242,萬神廟
243,阿美族
244,黑死病
245,2013年
246,赫爾伯特·查普曼
247,據傳在與比提尼亞國王的性行為中處於被動地位
248,2001年
249,波士頓塞爾提克隊
250,溥[UNK]
251,副主席
252,決勝局必定是單數局
253,廣東省政府委員會
254,風之國度》
255,1951年
256,漢語拼音方案
257,1984年
258,地面車站
259,
260,法蘭西第二帝國
261,
262,海布里球場
263,夜間攔截任務上，二戰時期的使用經驗延伸出兩種發展路線。一種是利用小型雷達測距儀追蹤目標的距離，協助飛行員找到最佳射擊時機，提高一般飛行員的命中率
264,哥白尼日心說
265,濃度低時
266,光緒年間
267,明朝
268,1848年
269,1979年
270,1998年
271,共同民主黨
272,《南華早報》
273,惡臭
274,佛像
275,阿聯
276,交通基建
277,前線步兵師
278,田川氏
279,以天狼星在東方地平線的出現
280,自律心肌細胞喪失了收縮性，但它們和工作心肌細胞
281,1961年
282,德語地區
283,女神大橋
284,1237年
285,東羅馬
286,劉裕
287,
288,美國律師協會
289,1654年
290,清末
291,美川王
292,胡安·林茲
293,日本
294,1954年
295,兩種
296,孟懷玉
297,鈣離子
298,383年
299,迪尼奧
300,苻堅
301,火山活動
302,利奧三世
303,拉丁字母
304,要提升飛機的飛行安全，降低因為鋼纜或者是滑輪等裝置失效導致失去控制
305,丁基羥基甲苯
306,中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,馬德里議定書
314,20%
315,曹魏故都智慧之旅
316,威廉港的貨櫃碼頭亞德港
317,布爾什維克革命
318,民主黨
319,彌爾
320,紅色
321,1928年
322,期貨合約
323,十多個
324,300美元
325,
326,何應欽的推薦，楊森於民國34年1月調任貴州省政府主席。楊森在貴州當政期間，提出了「建設新貴州」的口號，並大力發展體育事業
327,元世祖
328,燃油混合動力電動自行車
329,數學
330,亞熱帶季風氣候
331,經濟
332,目前沒有觀察到任何語言純[UNK]以力道來區分不同輔音
333,朱一貴
334,飼養家畜
335,失分
336,銃炮
337,1959年
338,1980年代
339,凱·艾維
340,東漢
341,1980年
342,希伯來文
343,第一心音
344,2010年
345,武漢
346,1868年
347,托土拉島
348,美國
349,倫敦大學學院與倫敦帝國學院合併的草議曝光，此提議因事前沒有進行足夠的諮詢而惹來廣泛的批評，倫大學院的教務長德里克·羅勃茲因而被逼取消這個計劃。2005年，倫大學院獲賦予獨立頒授學位
350,越野
351,岡仁波齊
352,1973年
353,突厥
354,三菱重工業長崎造船廠
355,法西斯
356,管理不善的困擾，而現如今民主制度的恢復
357,硫礦
358,丹尼索瓦人混血
359,漢文明
360,中國
361,2000年
362,蝸牛狀
363,布列斯特-立陶夫斯克
364,1955年
365,韓國
366,維京戈達島
367,1964年
368,史都華
369,1910年
370,中亞地區
371,沙阿摩訶末時期崛起
372,1958年
373,1928年
374,激進組織
375,巴爾的摩市
376,中華民國政府
377,社團部
378,早年違反了一次
379,電子郵件
380,孔子
381,楊浦區大連路
382,2005年
383,以隱性狀態非公開方式普遍進行，長期以來，中國對處決犯人一直採取保密的措施
384,貝拉明
385,50
386,雙循環泵
387,1809年
388,無法發展
389,民國32年
390,先使用大量優勢兵力向西擊敗法國然後再掉頭往東對付俄國
391,人文角度看，下薩克森邦幅員遼闊
392,盟旗制
393,
394,國家起源
395,路易·巴斯德
396,興大
397,宣統三年九月十九日
398,1991年
399,三國史記》
400,第二次工業革命
401,突厥語
402,哈雷阿卡拉國家公園
403,坎貝爾
404,8小時
405,樂壇女王
406,民國16年
407,國立廣東大學
408,亞伯拉罕諸教
409,六億七千多萬美金
410,妖怪
411,專家
412,中文
413,氧的逸度
414,非常混亂
415,阿爾泰語系
416,阿敏
417,信陽市
418,7000名
419,
420,質量
421,科學
422,林默娘
423,鮑德溫伯爵
424,周恩來組織
425,15米
426,蘇丹南部
427,雲騎尉
428,育苗
429,
430,太陽為主的研究機構轉為研究恆星
431,那拉氏
432,辛酉政變
433,銅的礦物
434,統一企業
435,連續的日數
436,生物學
437,陳誠
438,孫中山
439,與德國單獨媾和
440,德國工業
441,九一八事變
442,1978年
443,天皇
444,680.48
445,莫比爾
446,嘉義市
447,較大發展
448,肺呼氣機制
449,五角星
450,潘諾尼亞
451,航海工業
452,阿29
453,匿蹤性能較佳
454,
455,1919年
456,一條簡單的直線
457,昆明公交和昆明城巴
458,盟旗制
459,臺南
460,腓力二世
461,南緯30度
462,1867年
463,大滿貫男子單打比賽
464,中華人民共和國
465,保守派
466,網景公司
467,《全唐詩》
468,1911年
469,1982年
470,七年
471,奧地利
472,貝爾實驗室
473,梁朝偉
474,吳三連
475,1918年
476,米勒
477,1月8日
478,掃雷艇部隊
479,哈丹於遼東高麗一帶游擊
480,赦免權
481,民國15年
482,1988年
483,波你尼
484,東晉時期
485,線傳飛控
486,開城工業園區
487,烏孜別克人
488,2555公里
489,國共內戰
490,祖王
491,茲維亞德·加姆薩胡爾季阿
492,避免造成路口交通不暢
493,魚雷
494,荀子
495,明朝
496,1935年
497,雙北合作交流平台
498,電路傳導飛控命令
499,中國政法大學
500,瓜拿納
501,二戰時期
502,水冰
503,
504,民國4年12月25日
505,馬麗娜·甘巴
506,1972年
507,社會主義最終實現共產主義
508,貝爾根
509,
510,朱棣
511,移動傳輸網路
512,低稅賦
513,小選舉區制
514,科索沃
515,抗議活動
516,自由放任
517,綠色工業
518,四年
519,段祺瑞
520,喬治
521,中永和
522,1925年
523,蝸頂
524,1950年代
525,3
526,專門
527,2002年
528,水
529,海外進行軍事冒險
530,之後當第一個用戶嘗試儲存網頁時，就會出現編輯衝突
531,整理遺產
532,生殖器官
533,經濟建設
534,中華民國臨時約法》
535,鮮蝦腸粉
536,愛國教育
537,帕吉勒提河
538,西南美麗的地方
539,天」的至高無上
540,開羅
541,1932年
542,榮茂
543,1955年
544,多倫多運輸局
545,前一世紀
546,柵欄
547,1898年
548,法國
549,保羅•狄拉克
550,藥葛羅
551,健康寫實電影
552,1956年7月
553,矮星
554,中生代
555,伊爾庫茨克國立大學
556,鐵木真
557,23406人，女性為9347人
558,1789年
559,兩個
560,臺灣省臺北市
561,大韓民國成立後，南韓人認為日占時期
562,強盛大國元年
563,馬[UNK]
564,總兵官
565,阿普列尤斯
566,哈大客運專線
567,漢風魏韻
568,自然科學
569,反文化運動
570,英國
571,趙翼
572,轟炸機
573,小型雷達測距儀
574,義大利
575,中世紀
576,耳蝸核
577,刺史
578,18個
579,至元二十九年
580,多數派
581,外興安嶺
582,陶瓷
583,1980年代
584,比利時
585,路易斯安那
586,1930年代開始工業發展，包含機械工程、紡織、食品工業等等，另一方面1918年
587,馬可·波羅遊記
588,9年
589,玫瑰盃
590,1941年2月1日
591,101公里
592,國務院常務會議
593,低倍
594,喬治亞共和國
595,1943年
596,納戈爾諾-卡拉巴赫自治權
597,陰道
598,聯邦制
599,韓國
600,氯仿
601,土耳其裔
602,瀕危物種
603,越戰
604,公民權
605,電力無法大量的儲存
606,極端大陸性氣候
607,臺灣省臺北市
608,1928年
609,加密方式各運營商也有不同選擇，華人運營商多選擇法國電信
610,霍布斯
611,1897年
612,中山盛產海鹽
613,籌備處
614,市場分析
615,滬寧鐵路上海站，因位於上海市區北側，故又稱為上海北站
616,2005年
617,家庭喜劇片
618,反對同性婚姻者，主張限制同志收養子女之自由，乃為保障子女利益、避免有無法理解男性、女性性別角色差異之機會，而影響其性別認同和性傾向。這些反對者，亦提出[UNK][UNK]
619,婦女
620,反對建文帝削藩
621,
622,史彌遠
623,社會民主黨
624,傳播色情
625,電穿孔細胞
626,哈大客運專線
627,第五區
628,最古老的活躍軍事單位
629,1982年
630,漢武帝
631,以東地區
632,企圖分裂中華民國的行徑
633,教會
634,西方文明開始衝擊朝鮮半島
635,東晉常[UNK]
636,1936年
637,預言
638,非商用
639,五桂山
640,日本竹[UNK]魚
641,嘉義市
642,製造業
643,29個
644,
645,10月23日
646,人傳》
647,元音是韓語音節
648,第二次世界大戰
649,5000噸級
650,君士坦丁堡
651,2015年年底前
652,古漢語
653,22年
654,阿列克修斯三世的女婿阿列克修斯·杜卡斯
655,阿拉里克
656,
657,1937年
658,1964年
659,16世紀末
660,科技創新
661,外太空
662,明孝宗
663,阿圖什地方，經常有來自周邊地區的穆斯林商人，在穆斯林商人與他的交流中，帶給他另一個新興世界
664,第一區
665,1925年
666,照射紫外線
667,九一八事變
668,春秋
669,人類宗教信仰和習俗的總稱
670,閩江口
671,1899年
672,牟定縣
673,尼布楚條約
674,中央窩
675,利奧三世
676,殖民主義
677,奧德
678,6萬平方千米
679,2000公厘以上，無明顯乾溼季之分；溫差小，平均溫約攝氏25~27度。以常綠闊葉樹為主。森林層次複雜，可以分成地被層、草本層、灌木層、亞喬木層、喬木層和樹冠層等。為爭取陽光，有些樹種可以長到80公尺
680,積極性
681,麥克萊倫將軍卻與原先設定的溫和派政策不合，結果大多數好戰派民主黨人都投給了林肯。1865年內戰結束後不久，林肯遇刺身亡，其副總統安德魯約翰遜繼任總統，雖然約翰遜
682,赤城鎮政府街1號
683,纖維心包
684,羅非魚
685,潘普洛納
686,法國阿爾卑斯山礦泉
687,1848年
688,臺灣府志
689,杜林
690,第265任
691,6比6
692,民國39年
693,大東書局上海印刷廠
694,傑伊條約
695,超新星
696,全斗煥
697,2007年
698,特洛依
699,司法系統
700,382年
701,軍隊編制問題
702,劉銘傳
703,韓國
704,過境時
705,許志安
706,1923年
707,畢達哥拉斯
708,2009年
709,湘西土家族苗族自治州
710,
711,少
712,元明清
713,林察、周瑞
714,大台北都會區
715,醫學領域
716,《新基本法令》
717,1962年
718,
719,越南
720,奧匈帝國
721,俄羅斯
722,白矮星內的電子簡併物質
723,咖啡因
724,司馬元顯
725,階梯狀
726,漳州人
727,6個小時
728,1866年
729,分發式政策
730,呂驥
731,90年代
732,金日成
733,第一
734,威廉·莫里斯
735,波吉亞家族，誕生於西班牙瓦倫西亞
736,1787年
737,朱元璋
738,南郡
739,1898年
740,守舊派
741,蘇聯國旗相仿，五角星為社會主義國家，如北韓、越南
742,端敬王后
743,中生代
744,約瑟普•布羅茲•狄托
745,中國共產黨
746,有什麼問題
747,計劃生育
748,蘇聯
749,內閣
750,維多利中心
751,恆星
752,嚇阻鳥群
753,華人富有
754,
755,日本
756,分子雲內部
757,鮮卑部落
758,鮑德溫伯爵
759,1918年
760,1939年
761,
762,巴黎條約
763,1970年
764,威斯康辛大學麥迪遜分校
765,乾燥
766,麻赫穆德·喀什噶里
767,奢侈品
768,資格賽賽制
769,周駿龍
770,民國16年
771,13世紀
772,三監之亂
773,周恩來
774,馬略的軍事改革對羅馬歷史的發展有著深遠影響。改革擴大了兵源，增強了軍隊戰鬥力，但同時也使軍隊性質逐漸發生變化，為日後的軍閥出現以及軍事獨裁的建立奠定了基礎，馬略一
775,至元十三年
776,妖怪
777,60年代
778,圖西族
779,聖餐持紀念說
780,空腹死刑
781,三國志
782,木星
783,長沙太守
784,凝固是指在溫度降低時，物質由液態變為固態的過程，物質凝固時的溫度
785,2002年
786,上海
787,比利時
788,濃硫酸
789,科學革命
790,兄弟國的盟約
791,2011年
792,二氧化硫
793,1979年
794,義大利
795,農業
796,卡拉恰伊湖
797,趙昀
798,霍諾里烏斯
799,南京
800,共和黨
801,百濟
802,二戰的爆發
803,1976年
804,上海人
805,1949年
806,麻省理工學院
807,夫妻關係
808,1946年
809,礦產資源
810,1449年
811,1970年
812,隆武帝
813,1914年
814,孫叔敖
815,《三千年豔屍記》
816,雙汗制
817,
818,民權運動
819,中華全國體育協進會改為中華全國體育總會
820,外在的因素造成光度的變化，像是食雙星，還有極端的情形是由恆星自轉
821,武狀元蘇乞兒
822,1956年
823,《產假和保護婦女兒童權利法》
824,投資環境轉差
825,中華民國國軍
826,扶餘王子朱蒙因與其他王子不和，逃離夫餘國
827,人民頻繁的遷移
828,公元前12世紀
829,網際網路版權問題的存在
830,
831,英國
832,1927年
833,突厥汗國
834,寧都會議
835,捷運機場線等國際工程實施
836,太陽
837,1941年
838,妖怪學
839,1987年
840,同性婚姻
841,松溪河、清漳河、濁漳河；西部主要有瀟河、烏馬河、昌源河、惠濟河、龍鳳河、靜升河。汾河
842,關漢卿
843,張學良
844,陳平順
845,主序帶
846,厄德
847,整個站體都位於天橋上的車站
848,2007年
849,外蒙古
850,青銅時代
851,天皇
852,朝鮮白頭山
853,德國人
854,2014年
855,羅馬帝國
856,重力
857,第一目擊者
858,生物演化發生
859,1987年
860,韓國
861,祖沖之
862,圖西族
863,法文老師
864,阿瓦魯阿
865,廉興
866,基因特質
867,印地語
868,貝拉明
869,康熙帝
870,土地起伏大
871,分娩
872,民國43年
873,地質類學科
874,中國科學技術大學校長
875,咖啡因
876,倫提尼安一世
877,2000年6月
878,一日生活圈
879,美西戰爭
880,尊漢思想
881,蒂羅爾
882,
883,開架式販售
884,1910年革命
885,洛邑
886,蒙漢通婚
887,杜慧度
888,憲政改革
889,英國
890,斯塔福德郡
891,義熙十四年
892,劉少奇
893,2002年
894,小學
895,人類想像與傳說之中，難以運用科學方法證明其真偽
896,東德使館
897,2008年
898,1949
899,恆星
900,顯微注射
901,馬可波羅
902,新羅馬
903,上海鐵路局
904,離岸人民幣
905,《倫敦條約》
906,第四次迦太基大會
907,自主選擇權，需要開具引產證明。在生育自主權上，未婚女性不具有使用精子庫
908,大質量的恆星燃燒燃料
909,加拿大軍隊
910,120天
911,1950年代
912,文藝復興
913,行為不檢點
914,文藝復興式
915,楚州人
916,1590年
917,1989年
918,維斯特施塔德地區
919,民主德國廣播電台
920,最遙遠的星團
921,1584年
922,郭守時
923,
924,商業
925,1948年
926,67個
927,1月1日
928,2000年
929,義大利拉帕洛
930,黑龍江
931,私立大學
932,3座
933,華僑的聚集所在
934,石虎
935,林紹良
936,汪大淵
937,英語
938,[UNK]稻
939,宋真宗
940,120%
941,約翰·胡佛局長
942,9月
943,其副汗或小汗多帶有伊利的的稱號
944,唐德剛
945,路易十四
946,韓國
947,0.07個太陽質量
948,福建人
949,民國28年
950,李煥之
951,
952,核膜間隙
953,石排灣
954,正教
955,八角鼓
956,歐洲鋼鐵產量會下降
957,文化大革命
958,1642年
959,徐載弼
960,拔都
961,德魯修斯
962,芝加哥大學
963,船業
964,射擊斷續器
965,紐格威森林
966,2012年
967,斐迪南·德·雷賽布
968,屋大維
969,166年
970,科學
971,市場經濟
972,1963年
973,亞歷山大六世
974,1789年
975,悼念周恩來集會
976,
977,1958年
978,各國佔地不大
979,涵元門
980,趙翼
981,漢文
982,12次
983,科學社會學
984,約1138公頃
985,中華人民共和國村民委員會組織法》
986,荷蘭
987,聯合國專家
988,票房
989,內陸地區
990,國大黨
991,白[UNK]紀滅絕事件
992,毒品
993,異端邪說
994,1252年
995,元朝
996,1932年
997,1972年
998,新式鐵製蒸汽船
999,文森特
1000,環境保護主義
1001,國會結構
1002,1946年
1003,工農紅軍
1004,柏卡牌相機
1005,1991年
1006,
1007,矮星
1008,基督
1009,1999年
1010,亞歷山大漢密爾頓
1011,中國
1012,1960年，詹姆斯·史都華以導演奧圖·普萊明傑1959年
1013,國務委員會委員長
1014,紐約尼克
1015,預付
1016,東校區
1017,100
1018,第一代
1019,匈奴
1020,17日
1021,貴族
1022,工程化核酸酶
1023,伊薩克二世
1024,統帥
1025,外部刺激
1026,蔣中正
1027,
1028,武漢行營副主任
1029,躲避戰亂
1030,江東
1031,64%
1032,狄拉克
1033,蠻族事務局
1034,1826年
1035,英語
1036,寧都會議
1037,舊石器時代
1038,166年
1039,荀子。荀子
1040,集團軍
1041,半日制學堂
1042,被禁止
1043,屋大維
1044,韓語
1045,倫敦霍洛威
1046,佛教
1047,烏爾蘇拉
1048,1964年
1049,南方超大陸岡瓦那大陸
1050,儘快統一
1051,挪威
1052,越戰
1053,馬西米連諾遇害，另一件事是?[SEP]樂麗宮會見了墨西哥皇后比利時的夏洛特。夏洛特請求拿破崙提供支援，遭到拒絕。她隨後患上了精神疾病
1054,南華縣
1055,英國
1056,李紳
1057,路面電車
1058,四帝共治制
1059,
1060,1939年
1061,唐軍
1062,荊州劉表
1063,慶元
1064,北平綏靖公署主任
1065,羅馬日爾曼法系
1066,石油危機
1067,秦朝
1068,奧斯陸峽灣
1069,1920年
1070,硫代硫酸氨
1071,《金雲翹傳》
1072,89萬人
1073,1910年
1074,1627年
1075,環境污染
1076,羅德城
1077,唐生智
1078,夏季
1079,新北地方法院
1080,戴克里先
1081,6世紀
1082,98所
1083,甘肅省天水市
1084,決勝局
1085,東城坊鎮
1086,耶穌會
1087,
1088,破四舊
1089,三次
1090,獲得大寧地區的駐牧權
1091,俗語
1092,郭松齡
1093,
1094,邊督辦公署，在普洱設雲南省第二殖邊督辦公署
1095,明朝
1096,1967年
1097,多功能性
1098,1932年
1099,吉田定房
1100,世稱恭順
1101,氣候可根據不同氣象要素的平均範圍和特殊範圍進行分類，最常採用的變數為溫度和降水量。其中最常使用[UNK]氣候分類系統
1102,抗日戰爭
1103,募兵制
1104,南越國
1105,汗位取得不合法
1106,奧東·德拉羅什
1107,皇后大道東一帶。灣仔海岸線歷年不停的隨著填海外移。1841年建築皇后大道
1108,帕塔普斯科河
1109,1945年
1110,義熙十一年
1111,戰時研發商
1112,赫爾辛基
1113,《男人四十》
1114,羅馬帝國
1115,1846年
1116,日俄戰爭
1117,邱行湘
1118,合會朱陸
1119,幾個同夥，在這些島嶼上建立了阿希佩戈拉公國
1120,阿拉伯半島
1121,塞爾維亞
1122,加州尤巴城
1123,君主
1124,天下人
1125,外蒙古
1126,提姆·柏內茲李
1127,朱序
1128,石油危機
1129,
1130,1992年
1131,康拉德·阿登納
1132,倭國
1133,聖奧古斯丁
1134,大約公元185年
1135,弱勢群體
1136,大正天皇駕崩，皇太子裕仁
1137,四牌樓紀念基金
1138,中國歷代
1139,義輝
1140,美國總統選舉
1141,中華人民共和國衛生部
1142,人人平等
1143,斯拉夫人
1144,第4
1145,聯邦制
1146,1799年
1147,波多黎各
1148,瑞士蘇黎世州
1149,七月初四帶兵包圍了燕王府。朱棣假意將官屬全部捆縛，請二人進府查驗。二人進府後，朱棣派出府內死士將其擒獲，並連同府內叛變的葛誠、盧振一同處決。當日夜
1150,英國
1151,329440元銀元
1152,民國34年
1153,50元
1154,
1155,9局
1156,秧苗
1157,七個
1158,劉少奇
1159,卡加梅
1160,93位
1161,天城體
1162,[UNK]
1163,財務分析
1164,耕牧
1165,海軍中尉
1166,德川家康
1167,捨棄機炮
1168,1836年
1169,敘利亞
1170,新移民
1171,德里克·羅勃茲
1172,伊斯蘭教
1173,環保運動
1174,哥廷根亨德爾國際音樂節
1175,繞城高速
1176,繼續懷孕會有危險
1177,法國
1178,歐幾里得
1179,本頓
1180,通州張家灣
1181,製導
1182,《血盟救國軍軍歌》
1183,珠三角
1184,聽診器
1185,法國殖民地。他又在第二次鴉片戰爭和太平天國起義之中，維護了法國在華利益
1186,唯泰主義
1187,1970年代
1188,海峽兩岸服務貿易協議
1189,阿魯台
1190,自由主義
1191,1874年
1192,每一聲波周期
1193,五島烏龍麵
1194,李克強
1195,河東道
1196,超文字
1197,
1198,熱帶稀樹草原
1199,韓國
1200,國民政府軍事委員會將山西劃為第二戰區，組織成立了第二戰區長官司令部，代替太原綏靖公署職權，設司令長官1人，由閻錫山
1201,63個
1202,46公里
1203,十六世紀
1204,帕多瓦大學
1205,
1206,廈門市
1207,1891年
1208,
1209,發展局
1210,極端稀薄
1211,北京電視台
1212,[UNK]州縣實際解散
1213,十月革命
1214,英國
1215,美國大學協會
1216,教育投入
1217,
1218,開京
1219,美國大蕭條
1220,為了解決元成宗時期的財政危機
1221,騎士
1222,明文
1223,蔣介石
1224,全印穆斯林聯盟
1225,後受通古斯人壓力
1226,喇嘛教
1227,鎌倉時代
1228,日冕
1229,建設中國特色社會主義
1230,劉裕
1231,阿里烏教派
1232,鮑德溫伯爵
1233,佛教
1234,周代
1235,
1236,臺北市
1237,鄧小平
1238,南斯拉夫聯盟
1239,武陵
1240,殺蟲
1241,法國大革命
1242,自由韓國黨
1243,
1244,二十世紀
1245,積極進攻
1246,電極
1247,1898年
1248,義大利汽車之都
1249,火箭發動機
1250,工作心肌細胞
1251,軌道上驅動列車
1252,馬格德堡待了一年，教導他的是中世紀晚期出現的共同生活弟兄會的教士。1498年14歲，他的父母將他送到大城埃森納赫方濟會辦的聖喬治拉丁文學校
1253,23年
1254,1948年12月1日
1255,元武宗因愛育黎拔力八達有功，冊封他為皇太弟，相約武宗系
1256,土地稅法
1257,魏博拉盧比民達行業工會
1258,文章奧府
1259,繁衍後代所需基因物質產生的方式
1260,尚吉巴
1261,瓊州海峽
1262,安德魯約翰遜
1263,普林斯頓大學
1264,83年
1265,釣魚台國賓館
1266,伊達政宗
1267,解釋恆星內部和恆星演化的模型被成功的發展出來
1268,民國15年
1269,金融廳
1270,潘章
1271,約翰·莫根
1272,1960年
1273,第二代
1274,日美神奈川條約
1275,北京市
1276,
1277,哈利里德
1278,低可偵測性
1279,柏拉圖
1280,波蘭人
1281,六四事件
1282,
1283,改良式
1284,雙簧、數來寶、快書、京韻大鼓、單弦、太平歌詞及京劇
1285,二人
1286,1880年
1287,世界各地
1288,八月
1289,上層學科認知科學
1290,廣府話
1291,傑瑞·威斯特
1292,粳稻
1293,挪威
1294,1800個
1295,中國郵政集團公司
1296,沒有誠意
1297,「我們是一個民族！」
1298,克拉斯諾達爾邊疆區與阿布哈茲接界處、黑海沿岸，是俄羅斯受歡迎的渡假勝地。2013年有人口368011人。索契是蘇聯作家尼古拉·奧斯特洛夫斯基
1299,福島縣會津地區
1300,1913年
1301,土地撥贈法案
1302,德魯修斯
1303,洛杉磯快艇
1304,腓力五世
1305,牡丹峰樂團
1306,印度
1307,3座
1308,周敦頤
1309,沃爾普斯韋德
1310,朱利烏斯·凱撒
1311,豫
1312,1919年
1313,1133515人
1314,喃字
1315,排灣族部落
1316,牛津大學
1317,普選制度
1318,大韓帝國
